country,country_code,year,spei_12,drought,electricity_generation,hydro_electricity,wind_electricity,solar_electricity,biofuel_electricity,nuclear_electricity,coal_electricity,gas_electricity,oil_electricity,fossil_electricity,net_elec_imports,net_elec_imports_share_demand,hydro_share,wind_share,solar_share,biofuel_share,nuclear_share,coal_share,gas_share,oil_share,fossil_share
Spain,ESP,2021,-0.9115,False,270.75,29.63,62.06,27.1,6.94,56.56,4.86,71.5,12.08,88.44,0.85,0.313,0.10943674976915974,0.2292151431209603,0.10009233610341645,0.025632502308402586,0.20890120036934443,0.017950138504155125,0.26408125577100644,0.04461680517082179,0.3266481994459834
Spain,ESP,2020,-0.7235,False,259.47,30.51,56.44,20.67,6.14,58.3,5.52,69.74,12.12,87.38,3.28,1.248,0.11758584807492195,0.2175203299032643,0.07966238871545843,0.023663621998689634,0.22468878868462633,0.021274135738235632,0.26877866420010016,0.04671060238177823,0.33676340232011404
Spain,ESP,2019,-1.6438,True,270.52,24.65,55.65,15.1,5.57,58.35,12.86,83.71,14.61,111.18,6.86,2.473,0.09112080437675588,0.20571491941446104,0.05581842377643058,0.02058997486322638,0.21569569717580958,0.04753807481886737,0.3094410764453645,0.05400709744196363,0.41098624870619554
Spain,ESP,2018,0.9037,False,271.4,34.33,50.89,12.74,5.91,55.77,37.34,58.0,16.42,111.76,11.1,3.929,0.12649226234340458,0.18750921149594696,0.046941783345615336,0.02177597641857038,0.20549005158437733,0.1375829034635225,0.2137067059690494,0.06050110537951364,0.4117907148120855
Spain,ESP,2017,-2.5057,True,272.38,18.32,49.13,14.4,6.08,58.04,45.13,64.04,17.24,126.41,9.17,3.257,0.06725897642998752,0.18037300829723182,0.05286731771789412,0.022321756369777516,0.2130846611351788,0.16568764226448346,0.23511271018430138,0.06329392760114545,0.46409428004993025
Spain,ESP,2016,-0.6359,False,270.7,36.4,48.9,13.64,5.69,58.63,36.43,52.83,18.18,107.44,7.67,2.755,0.13446619874399704,0.180642777983007,0.05038788326560769,0.021019578869597343,0.2165866272626524,0.13457702253417067,0.19516069449575177,0.06715921684521611,0.3968969338751385
Spain,ESP,2015,-2.0952,True,277.17,28.14,49.32,13.86,5.76,57.2,51.37,52.5,19.02,122.89,-0.13,-0.047,0.10152613919255331,0.17794133564238554,0.05000541184110834,0.020781469856045023,0.20637154093155824,0.1853375184904571,0.18941443879207706,0.06862214525381534,0.4433741025363495
Spain,ESP,2014,-0.3693,False,274.44,39.17,52.01,13.67,5.41,57.31,43.81,47.27,15.79,106.87,-3.41,-1.258,0.14272700772482147,0.1895131904970121,0.04981052324734004,0.01971286984404606,0.20882524413350825,0.15963416411601808,0.17224165573531555,0.05753534470193849,0.3894111645532721
Spain,ESP,2013,0.194,False,281.46,36.87,55.64,13.1,5.8,56.73,39.94,57.54,15.84,113.32,-6.75,-2.457,0.1309955233425709,0.1976835074255667,0.04654302565195765,0.02060683578483621,0.20155617139202728,0.14190293469764798,0.20443402259646132,0.056277979108932,0.4026149364030413
Spain,ESP,2012,-1.527,True,293.95,20.55,49.47,11.97,4.98,61.47,55.07,73.31,17.13,145.51,-11.2,-3.961,0.06990984861370982,0.16829392753869707,0.04072121109032149,0.01694165674434428,0.20911719680217725,0.18734478652832115,0.24939615580881103,0.05827521687361796,0.4950161592107501
Spain,ESP,2011,-1.4346,True,291.54,30.6,42.92,9.4,4.61,57.72,43.98,85.51,16.8,146.29,-6.09,-2.133,0.10495986828565548,0.14721822048432462,0.03224257391781574,0.015812581463950058,0.19798312409960894,0.1508540852027166,0.2933045208204706,0.05762502572545791,0.501783631748645
Spain,ESP,2010,1.2144,False,297.8,42.3,44.27,7.19,4.01,61.99,25.33,94.85,17.86,138.04,-8.33,-2.878,0.1420416386836803,0.14865681665547348,0.02414372061786434,0.01346541302887844,0.20815983881799865,0.08505708529214237,0.3185023505708529,0.05997313633310947,0.4635325721961047
Spain,ESP,2009,-0.9107,False,290.72,26.41,38.12,6.06,3.49,52.76,35.91,107.75,20.22,163.88,-8.1,-2.866,0.09084342322509631,0.1311227297743533,0.020844799119427625,0.012004678040726472,0.1814804623004953,0.12352091359383598,0.3706315354980737,0.06955145844799118,0.5637039075399009
Spain,ESP,2008,0.1537,False,309.79,23.36,32.95,2.58,3.26,58.97,48.71,120.8,19.16,188.67,-11.04,-3.695,0.0754059201394493,0.10636237451176604,0.00832822234416863,0.010523257690693694,0.1903547564479163,0.15723554666064107,0.38994157332386453,0.06184834888150037,0.609025468866006
Spain,ESP,2007,-0.9365,False,301.86,27.31,27.57,0.52,2.9,55.1,72.8,94.8,20.86,188.46,-5.75,-1.942,0.09047240442589279,0.09133373086861458,0.0017226528854435831,0.009607102630358444,0.18253494997681044,0.24117140396210163,0.3140528721924071,0.06910488305837142,0.6243291592128801
Spain,ESP,2006,-0.5083,False,295.59,25.96,23.3,0.12,2.77,60.13,66.74,90.57,26.0,183.31,-3.28,-1.122,0.0878243512974052,0.07882540004736291,0.0004059677255658175,0.009371088331810955,0.20342366115227176,0.22578571670218883,0.30640414087080076,0.0879596738725938,0.6201495314455835
Spain,ESP,2005,-2.0335,True,289.46,18.39,21.18,0.05,2.65,57.54,79.06,79.01,31.58,189.65,-1.34,-0.465,0.0635320942444552,0.07317073170731708,0.00017273543840254268,0.009154978235334761,0.19878394251364612,0.2731292752021005,0.27295653976369794,0.10909970289504595,0.6551855178608444
France,FRA,2023,-0.7829,False,518.75,55.9,50.48,22.59,9.94,338.2,1.61,30.02,9.43,41.06,-50.47,-10.778,0.10775903614457831,0.09731084337349397,0.043546987951807226,0.01916144578313253,0.6519518072289157,0.0031036144578313256,0.057869879518072286,0.018178313253012047,0.07915180722891567
France,FRA,2022,-2.271,True,468.45,45.56,38.2,19.34,9.67,294.73,4.16,45.74,10.45,60.35,14.94,3.091,0.09725691108976413,0.08154552246771268,0.04128508912370584,0.02064254456185292,0.629159995730601,0.00888035009072473,0.09764115700715124,0.022307610203863806,0.1288291173017398
France,FRA,2021,-0.4057,False,550.31,59.54,37.12,15.28,9.58,379.36,5.44,33.31,10.1,48.85,-44.89,-8.882,0.10819356362777345,0.06745289018916611,0.027766168159764498,0.017408369827915177,0.6893569079246245,0.009885337355308828,0.060529519725245784,0.018353291780996168,0.08876814886155078
France,FRA,2020,-1.0459,True,527.25,62.52,40.05,13.09,8.76,353.83,3.09,35.25,10.05,48.39,-45.04,-9.34,0.11857752489331437,0.0759601706970128,0.024826932195353247,0.016614509246088194,0.67108582266477,0.005860597439544808,0.06685633001422475,0.019061166429587485,0.09177809388335705
France,FRA,2019,-1.0763,True,565.52,56.91,34.72,12.02,8.64,399.01,3.64,39.24,10.73,53.61,-57.67,-11.356,0.10063304569246004,0.061394822464280664,0.021254774366954308,0.015277974253784129,0.7055630216437969,0.006436553968029425,0.06938746640260292,0.018973687933229594,0.09479770830386193
France,FRA,2018,-0.8703,False,576.24,65.11,28.6,11.15,8.38,412.94,8.31,30.55,10.59,49.45,-62.97,-12.268,0.11299111481327224,0.04963209773705401,0.019349576565320006,0.014542551714563378,0.7166111342496182,0.014421074552269889,0.05301610440094405,0.018377759266972094,0.08581493822018604
France,FRA,2017,-1.3891,True,555.74,50.0,24.61,8.87,7.78,398.36,12.81,40.5,12.16,65.47,-40.13,-7.783,0.08997012991686759,0.044283297945082234,0.01596070104725231,0.0139993522150646,0.7168100190736676,0.02305034728470148,0.07287580523266275,0.0218807355957822,0.11780688811314644
