country,iso_code,height_m,wind_speed_100m_mean_ms,wind_speed_100m_median_ms,wind_speed_100m_std_ms,wind_speed_100m_p10_ms,wind_speed_100m_p90_ms,wind_speed_100m_min_ms,wind_speed_100m_max_ms,wind_speed_valid_cells,power_density_100m_mean_wm2,power_density_100m_median_wm2,power_density_100m_std_wm2,power_density_100m_p10_wm2,power_density_100m_p90_wm2,power_density_100m_min_wm2,power_density_100m_max_wm2,power_density_valid_cells,generation_year,wind_generation_twh,capacity_year,wind_capacity_gw,generation_per_gw,capacity_factor_pct
Australia,AUS,100,7.25,7.029,1.46,5.486,9.23,0.463,19.227,212897206,399.97,300.818,265.482,162.385,757.789,0.892,5980.777,212897206,2025,39.23,2025,14.529,2.700117007364581,30.8232535087281
Greece,GRC,100,6.699,6.948,1.618,4.129,8.526,0.718,17.839,10123344,399.24,390.15,197.664,132.138,624.747,0.641,10403.923,10123344,2025,11.91,2025,5.706387,2.0871349945245563,23.825741946627353
Germany,DEU,100,6.834,6.674,1.548,5.055,9.559,0.612,13.229,8784233,377.045,307.204,245.437,158.781,850.83,0.683,6051.681,8784233,2025,136.03,2025,77.873,1.746818537875772,19.940850888992827
Italy,ITA,100,5.786,6.072,1.48,3.559,7.429,0.146,19.864,14518621,334.599,336.191,189.04,101.523,523.546,0.062,10655.955,14518621,2025,21.48,2025,13.568163,1.5831177735703794,18.072120702858214
Finland,FIN,100,6.814,6.409,1.068,5.882,8.928,4.031,13.507,12487093,332.466,244.014,197.024,190.579,723.256,76.516,2625.775,12487093,2025,22.58,2025,9.383,2.4064798039006714,27.471230638135523
Poland,POL,100,6.781,6.689,1.009,5.726,7.835,1.918,14.341,7357559,323.925,285.586,169.837,186.789,502.265,14.959,4239.522,7357559,2025,24.62,2025,10.6017475,2.3222586653756845,26.509802116160785
China,CHN,100,5.978,5.909,1.892,3.522,8.311,0.063,31.801,167363166,279.33,227.552,232.302,64.51,525.186,0.001,26002.363,167363166,2025,1135.44,2025,640.6265,1.7723899963551306,20.232762515469528
Türkiye,TUR,100,5.234,5.221,1.413,3.392,7.045,0.129,16.434,17654714,236.432,198.207,159.803,79.979,407.789,0.007,5488.93,17654714,2025,39.42,2025,14.78079,2.666975175210527,30.444922091444372
Mexico,MEX,100,5.428,5.537,1.526,3.437,7.288,0.128,22.73,72134184,200.58,177.054,164.278,54.926,353.459,0.01,11330.574,72134184,2025,21.38,2025,7.512,2.846112886048988,32.48987312841311
India,IND,100,5.052,4.915,1.348,3.471,6.938,0.052,27.339,64571181,151.793,116.965,109.407,49.634,309.066,0.001,19359.816,64571181,2025,103.98,2025,54.511,1.9075049072664232,21.775170174274237
Brazil,BRA,100,4.696,4.474,1.984,2.164,7.432,0.447,18.286,152214022,139.211,83.342,155.736,10.609,332.637,0.168,7630.913,152214022,2025,117.58,2025,34.865734,3.372365543774297,38.49732355906731
