,country,year,month,event_type,price_std_mean_diff_percentage,renew_share_diff
11,CZ,2020,5,low_soil,73.80093943526425,-1.219211254351162
12,CZ,2021,10,low_soil,40.86154937660862,-1.5165183414728762
13,CZ,2021,11,low_soil,-1.2698020828440169,0.9334237981682207
14,CZ,2021,12,low_soil,-2.3691921690781395,-0.6745890579151386
15,CZ,2022,3,low_soil,-17.608504668634968,-0.011901977132222186
16,CZ,2022,6,low_soil,28.004525378738045,-1.6141649479110942
17,CZ,2022,7,low_soil,-9.503449533313152,-1.1875133522725463
18,CZ,2022,8,low_soil,-2.607414811950216,3.34503487506346
19,CZ,2023,10,low_soil,25.465329541367552,5.310125721275721
20,CZ,2024,5,low_soil,3.9669494593367904,1.0583809078896564
21,CZ,2024,9,low_soil,16.589041305709486,-4.524774155425096
22,DE,2019,1,low_soil,19.4953201455899,18.457449899287717
23,DE,2019,2,low_soil,0.2619635219857219,-0.37256093015037095
24,DE,2019,3,low_soil,27.088464135556062,7.579565356709352
25,DE,2019,7,low_soil,-23.444559887788202,7.89975863037651
26,DE,2019,9,low_soil,-21.0511782406956,0.4615403192702061
27,DE,2019,10,low_soil,-19.94003922545714,-1.6364905712492188
28,DE,2020,4,low_soil,14.057768983048218,0.7338965131558624
29,DE,2020,5,low_soil,29.21801152621977,5.8951556918403725
30,DE,2020,6,low_soil,54.29255283298411,9.377773058389991
31,DE,2020,10,low_soil,12.52151197295596,7.821230394046509
32,DE,2020,12,low_soil,39.11004873045096,-17.338206266665782
33,DE,2022,3,low_soil,-19.95390783767902,-5.575460313798402
34,DE,2022,6,low_soil,19.144921799930557,-8.271743716836959
35,DE,2022,7,low_soil,-3.5116571239334324,-4.725029327958815
36,DE,2022,8,low_soil,16.720487398657017,-4.427158703676149
37,DE,2022,9,low_soil,13.371571112070649,-0.19722696830481823
38,DE,2022,11,low_soil,-33.220698557756286,16.035765600756456
39,DE,2024,11,low_soil,-47.70049485075649,8.690065997420348
40,DE,2024,12,low_soil,-21.631638545516445,-0.862234938599471
41,FI,2019,9,low_soil,-11.500784044868388,10.082603632231084
42,FI,2019,10,low_soil,-2.1509550190508095,0.36705969042380815
43,FI,2020,5,low_soil,-10.985926499274287,-2.7590365596455584
44,FI,2020,6,low_soil,51.89103598931081,-7.0565798019233625
45,FI,2021,7,low_soil,11.933770872086727,-2.752333410163608
46,FI,2021,8,low_soil,-30.795927330198413,-6.74073865947949
47,FI,2021,10,low_soil,-32.28069401479728,-0.5517247670679595
48,FI,2022,4,low_soil,-40.4447328364702,2.6948013732924423
49,FI,2022,6,low_soil,85.2398332494283,-1.2897347622990196
50,FI,2022,7,low_soil,21.313991956379137,-0.4337396289083344
51,FI,2022,10,low_soil,84.3420217706674,-8.838728243314847
52,FI,2023,6,low_soil,85.69929144900497,-8.927613838074556
53,FI,2023,11,low_soil,12.609838924175257,5.691907406875259
54,FI,2023,12,low_soil,-35.271243978581865,6.135464714466423
55,FI,2024,1,low_soil,-79.97297501828464,3.4620684146515828
56,FI,2024,2,low_soil,-38.33163286202828,-0.054548478268699796
57,FI,2024,3,low_soil,4.09326647313281,1.351365627290697
58,FI,2024,4,low_soil,-2.679190065694297,-1.694346251638727
59,FI,2024,11,low_soil,-24.465818695486455,7.3583810443823054
60,PL,2019,1,low_soil,-3.266464762896305,6.804525616602396
61,PL,2019,2,low_soil,0.4200178214426173,-0.4103069598054603
62,PL,2019,3,low_soil,-6.719907774458872,-5.727410864614006
63,PL,2019,4,low_soil,1.8836470844617481,1.0912186269825739
64,PL,2019,7,low_soil,14.522120289074655,-1.792883575197374
65,PL,2019,8,low_soil,9.071332940766846,2.9821484150147937
66,PL,2019,9,low_soil,2.138953739553501,-4.503349065749324
67,PL,2020,1,low_soil,-36.948910909744214,6.752176055669157
68,PL,2020,2,low_soil,-1.1928193202793864,-0.7019140992579089
69,PL,2020,3,low_soil,-28.270654326913956,0.5838114312909681
70,PL,2020,4,low_soil,-35.18725743958442,-6.198884155226155
71,PL,2020,5,low_soil,-7.149727261712998,1.4745623976506597
72,PL,2022,3,low_soil,-25.908736117801663,5.441619254967179
73,PL,2022,5,low_soil,11.23139144790481,6.018232937656819
74,PL,2022,6,low_soil,68.22331582266578,3.58905791894151
75,PL,2022,12,low_soil,42.114601172114575,-9.605598877982297
76,PL,2023,7,low_soil,18.73372019522067,-1.521687083545224
77,PL,2023,10,low_soil,31.896365701255675,11.456835126024345
78,PL,2024,5,low_soil,-30.65319915670972,-3.5866661982239734
79,PL,2024,6,low_soil,10.1358450139328,5.847288736680028
80,PL,2024,7,low_soil,-23.66854576981605,-2.260958043541585
81,PL,2024,9,low_soil,38.518018933271506,4.256737460787406
82,PL,2024,11,low_soil,24.70207425278133,-7.221920055161242
83,PL,2024,12,low_soil,30.803904329478684,-10.701494495654767
