,time,country,temperature_2m_max,precipitation_sum,shortwave_radiation_sum,wind_speed_10m_mean,soil_moisture_28_to_100cm_mean,date,price_mean,price_std,price_min,price_max,price_range,month,year
12,2019-01-04 00:00:00+00:00,CZ,0.22727272727272732,3.6545454545454548,1.6645454545454543,14.509090909090908,0.2813636363636363,2019-01-04,52.39625,10.790886981514824,28.1,67.53,39.43,1,2019
13,2019-01-04 00:00:00+00:00,DE,3.6340425531914895,1.3595744680851063,1.2302127659574469,15.408510638297873,0.3273617021276596,2019-01-04,48.91708333333333,7.091700280068162,26.9,55.78,28.880000000000003,1,2019
14,2019-01-04 00:00:00+00:00,FI,-3.391304347826087,1.3724637681159422,0.1746376811594203,11.501449275362319,0.3872463768115942,2019-01-04,54.53583333333333,5.265810905525721,47.05,60.67,13.620000000000005,1,2019
15,2019-01-04 00:00:00+00:00,PL,0.4950000000000001,3.055,1.42675,15.529999999999998,0.2823,2019-01-04,55.98515181848515,6.298604168028388,47.23327979141933,62.81863258607445,15.585352794655122,1,2019
16,2019-01-05 00:00:00+00:00,CZ,3.5545454545454547,8.863636363636363,0.9236363636363637,18.8,0.28236363636363637,2019-01-05,44.12083333333334,12.698104588674937,23.48,59.7,36.22,1,2019
17,2019-01-05 00:00:00+00:00,DE,5.587234042553192,6.885106382978724,0.9353191489361702,18.378723404255318,0.3279148936170213,2019-01-05,43.15541666666667,14.02236628891785,18.37,61.64,43.269999999999996,1,2019
18,2019-01-05 00:00:00+00:00,FI,-4.76231884057971,0.10434782608695653,0.2659420289855073,8.652173913043478,0.38691304347826083,2019-01-05,52.29583333333333,4.713908114308649,47.0,62.87,15.869999999999997,1,2019
19,2019-01-05 00:00:00+00:00,PL,2.6975000000000002,4.6850000000000005,1.446,18.6625,0.28365,2019-01-05,52.191629614110234,5.144397599583961,44.162767418581375,63.06539097236772,18.90262355378635,1,2019
20,2019-01-06 00:00:00+00:00,CZ,1.3636363636363635,1.1363636363636365,1.6681818181818182,15.372727272727273,0.28363636363636363,2019-01-06,52.30916666666667,8.027152246494758,40.5,67.0,26.5,1,2019
21,2019-01-06 00:00:00+00:00,DE,4.259574468085106,3.2510638297872343,1.2314893617021276,11.5,0.3290212765957447,2019-01-06,54.367916666666666,6.855470033780179,44.23,67.37,23.140000000000008,1,2019
22,2019-01-06 00:00:00+00:00,FI,0.3536231884057971,1.0782608695652174,0.183768115942029,12.884057971014492,0.38660869565217393,2019-01-06,51.09041666666667,1.9902686713250495,47.82,55.25,7.43,1,2019
23,2019-01-06 00:00:00+00:00,PL,-1.04,0.5900000000000001,1.8625,13.344999999999999,0.285025,2019-01-06,50.04743279551135,6.2950532527284,41.53921363223689,62.33675536001117,20.79754172777428,1,2019
24,2019-01-07 00:00:00+00:00,CZ,1.0909090909090908,1.8363636363636362,1.7354545454545454,8.4,0.2851818181818182,2019-01-07,61.33083333333334,12.55919061247896,40.7,75.45,34.75,1,2019
25,2019-01-07 00:00:00+00:00,DE,4.948936170212765,3.6510638297872338,1.0855319148936171,14.404255319148936,0.3302765957446808,2019-01-07,50.64208333333334,18.78845297080715,1.84,74.93,73.09,1,2019
26,2019-01-07 00:00:00+00:00,FI,0.8985507246376812,1.1681159420289855,0.34739130434782606,13.979710144927537,0.38608695652173913,2019-01-07,51.918749999999996,3.4998041094249563,46.75,57.94,11.189999999999998,1,2019
27,2019-01-07 00:00:00+00:00,PL,-1.655,0.5850000000000001,2.4829999999999997,10.995000000000001,0.286325,2019-01-07,60.8547149412272,11.25515519434862,44.22715131808152,76.06040831546565,31.833256997384133,1,2019
28,2019-01-08 00:00:00+00:00,CZ,3.290909090909091,9.290909090909091,2.2827272727272727,22.172727272727272,0.28654545454545455,2019-01-08,55.88375,12.016746580067554,31.01,69.0,37.989999999999995,1,2019
